,importances_mean,importances_std,feature
5,0.049297389528862826,0.0061309846116773935,sin_weekday
4,0.021656610306990842,0.002998872548262843,cos_weekday
6,0.01067424236973693,0.0022855322403282845,holiday
8,0.0010781018799093545,0.0003446838611609007,week_with_holiday
7,0.0005748902618506691,0.0005970177071785294,day_before_holiday
15,0.00032714581211621405,0.0001277633984452251,gt_RUNT
11,6.179928732308326e-07,4.223255770369567e-06,trm_shift_404
12,8.43745397105522e-08,5.073554780752496e-08,trm_shift_592
13,-2.70598535166755e-05,7.848770151166162e-06,gt_carro
0,-6.532655055480063e-05,0.00026529822402875303,cos_month
3,-7.149837915676471e-05,8.170036310767006e-05,sin_n_week
1,-7.262301726314035e-05,9.371240865058543e-05,sin_month
14,-8.747528473804778e-05,4.510788545617325e-05,gt_moto
9,-0.00012594956788234413,8.778650440100008e-05,trm_shift_45
2,-0.00013388024174219027,0.00015031401890771908,cos_n_week
10,-0.0001775852940227196,0.0001428578949556675,trm_shift_60
