,importances_mean,importances_std,feature
5,0.08014172834291458,0.007695653356005394,sin_weekday
4,0.042531756897244574,0.0042573003500800495,cos_weekday
6,0.01936019058753118,0.0038877650092792606,holiday
8,0.005374877438725889,0.0021960235722440023,week_with_holiday
14,0.004218848524078567,0.001405593345634381,gt_moto
15,0.004167814706352147,0.0016335054023308327,gt_RUNT
13,0.003809103825017246,0.0014105402259246439,gt_carro
7,0.0034762759475484017,0.0017328191074379123,day_before_holiday
3,0.0026302453049311227,0.002119807513401643,sin_n_week
1,0.001432615534361048,0.0022848904654157428,sin_month
11,0.0009870504643345157,0.0008170947266448842,trm_shift_404
10,0.0005652937147146986,0.0012174019667453696,trm_shift_60
9,0.0005421082130851573,0.0010012951528650873,trm_shift_45
12,0.00048141017086891227,0.0005786460155156003,trm_shift_592
2,-0.008805612762421334,0.0031755910412995065,cos_n_week
0,-0.00935095899552607,0.002615035830613358,cos_month
