,importances_mean,importances_std,feature
5,0.05143833958647974,0.006397218324057656,sin_weekday
4,0.021798434593426917,0.0030185005777358977,cos_weekday
6,0.010270632167009807,0.002199075052178593,holiday
8,0.0009282912074468185,0.0002967802252635225,week_with_holiday
15,0.0007519783345401265,0.00029367384158370745,gt_RUNT
7,0.0006223279314440333,0.0006462669831663981,day_before_holiday
13,0.00010189527358761552,2.955544391628955e-05,gt_carro
14,7.197455117875506e-05,3.711487029972667e-05,gt_moto
12,2.440035200379498e-05,1.4671640024478944e-05,trm_shift_592
11,-5.956338213763956e-07,4.069051873656122e-06,trm_shift_404
0,-5.568152037085383e-05,0.00022617421286080455,cos_month
3,-6.223717562079401e-05,7.111696205181658e-05,sin_n_week
1,-6.388942363173555e-05,8.243951620604854e-05,sin_month
2,-9.83262959834974e-05,0.00011040147202528105,cos_n_week
9,-0.00012461241359460474,8.685586403909362e-05,trm_shift_45
10,-0.0001725381869277953,0.00013880528455110488,trm_shift_60
