,importances_mean,importances_std,feature
5,0.07425180841378279,0.006632521612445498,sin_weekday
4,0.02415804276124618,0.002197866403720019,cos_weekday
6,0.019789638228758122,0.003925902046983233,holiday
7,0.005501623046563963,0.0021928650423226593,day_before_holiday
8,0.004890158071611949,0.0009013129116773371,week_with_holiday
3,0.0007538672749888064,0.00023647522698833583,sin_n_week
13,0.00061796016682365,0.0006168585055897528,gt_carro
1,0.0004983812862178639,0.00025664481119689296,sin_month
14,0.0004671887168910871,0.000368452550867051,gt_moto
9,0.0004505169060280423,0.00015690539026837414,trm_shift_45
10,0.00041059298104073605,0.00019965629290604907,trm_shift_60
15,0.0003013252504160846,0.00073955088467673,gt_RUNT
11,0.00023547162774093522,9.541051523962985e-05,trm_shift_404
12,-5.8843290696586335e-05,5.9658265913144494e-05,trm_shift_592
2,-0.0006219487110342925,0.00041332776132583273,cos_n_week
0,-0.000819028689318202,0.0003251915618473363,cos_month
