,importances_mean,importances_std,feature
5,0.053578309735326,0.006663288845697188,sin_weekday
4,0.02360518782896861,0.003268561050828915,cos_weekday
6,0.014076762249533203,0.003013993713740135,holiday
7,0.0009145556054249937,0.0009496327114673658,day_before_holiday
8,0.0005277064312167567,0.00016873666731917621,week_with_holiday
11,-9.262391472475429e-06,6.334222695854427e-05,trm_shift_404
0,-7.123476462993495e-05,0.0002891719966453816,cos_month
3,-7.303088378876054e-05,8.345218998544999e-05,sin_n_week
12,-8.791882617060764e-05,5.28682446648482e-05,trm_shift_592
13,-9.280772558213357e-05,2.691824920537472e-05,gt_carro
1,-0.00011592873414656424,0.00014960490049709642,sin_month
2,-0.00012547357740686494,0.00014085481635578767,cos_n_week
9,-0.00019790002412491958,0.00013793458326916887,trm_shift_45
10,-0.00024088780098736607,0.00019376540028312003,trm_shift_60
15,-0.0005115321517791926,0.0001997805840645994,gt_RUNT
14,-0.0006267596693760424,0.00032320250606784103,gt_moto
