,importances_mean,importances_std,feature
5,0.059293771582997576,0.0064249555593263105,sin_weekday
4,0.03413434723175897,0.003821754327686851,cos_weekday
6,0.01922447772207079,0.004350020323599043,holiday
15,0.00202237824724989,0.0004393484227550796,gt_RUNT
11,0.00023386453672173956,4.431612072244634e-05,trm_shift_404
12,0.00012579875478877512,1.465556432470329e-05,trm_shift_592
13,-1.7355681382014155e-05,0.00021301272130689876,gt_carro
0,-7.877480195475072e-05,0.00018048435188032763,cos_month
7,-0.00015892588462520507,0.0011427682809248387,day_before_holiday
14,-0.0003238839168375307,0.0002767953667503354,gt_moto
2,-0.000343135064974831,0.0003067664604573429,cos_n_week
3,-0.0008755971289360787,0.0002636478614724417,sin_n_week
9,-0.0009155295785376438,0.00020285374575600813,trm_shift_45
10,-0.001306589155092297,0.0002993472291047848,trm_shift_60
8,-0.0013814949364245876,0.0008084456434045963,week_with_holiday
1,-0.0014245790357676924,0.00032095240327869966,sin_month
