model,period,r2,explained_variance,max_error,mean_absolute_error,mean_squared_error,root_mean_squared_error
Ridge,train,0.6473777699094336,0.6480851379369652,2428.4172950486764,242.8268352349102,105886.11658555425,325.401469857704
Ridge,val,0.46678158657677193,0.466966551505299,2310.263455547016,249.68659574409145,148869.58498836114,385.8362152369333
Lasso,train,0.63911918827309,0.6412228203184843,2399.8938355758764,244.85456807041874,108366.02018593875,329.1899454508578
Lasso,val,0.43650957236357046,0.4794364776854039,2193.58313416741,287.9912128166243,157321.24772024076,396.6374260205922
ElasticNet,train,0.6374242485302541,0.6390315866124672,2433.4977106335637,245.92249866516036,108874.98012068053,329.962088914288
ElasticNet,val,0.4672109411803651,0.4814989910909282,2268.860765464906,269.62406029918907,148749.71320591576,385.680843711372
KNeighborsRegressor,train,0.9990717214939544,0.9997033776844091,111.0,13.77225466918658,278.7453476480073,16.69566852953206
KNeighborsRegressor,val,0.5197159985011826,0.5285860256290532,2079.9885873697112,221.88055643105645,134090.7931529502,366.18409735125067
RandomForestRegressor,train,0.8289778337063997,0.8301697882160672,1678.25411789133,148.83513831149924,51354.882062390636,226.61615578415993
RandomForestRegressor,val,0.5619917597049262,0.5948027276624752,2028.9360096867995,235.4795555633217,122287.79673153257,349.6967210763243
GradientBoostingRegressor,train,0.9202805733322351,0.9213287383929247,983.5505183431032,97.83432737946889,23938.31070749138,154.72010440628387
GradientBoostingRegressor,val,0.5429475475139728,0.5437855544942234,2168.320232389926,202.13516851606752,127604.76233873343,357.21808792211715
SVR,train,0.7814105366363862,0.7814338594510908,2277.778050528966,173.37305880348225,65638.48625240875,256.2000902661995
SVR,val,0.4926823496868614,0.5380436787654466,2214.409172014744,263.56127294160206,141638.3346076276,376.34868753275543
